id;name;link;specialization;films_years;description;path_to_folder
3250;Полина Лазарева;https://www.kinopoisk.ru/name/1691869;Актриса,Режиссер,Сценарист;21, 1997 — 2024;Операция «Мухаббат»,Екатерина,Город,Скажи правду;actors_ussr_russia/3250
8125;Александр Мосолов;https://www.kinopoisk.ru/name/2201119;Актер;85, 1993 — 2023;Летчик,Лихач,Ментовские войны 8,Первый отдел,Наш спецназ,Невский. Тень архитектора;actors_ussr_russia/8125
1625;Евгения Лютая;https://www.kinopoisk.ru/name/1671773;Актриса;44, 2000 — 2022;Охотники за караванами,Дети Арбата,Склифосовский,Тяжелый песок,Страсти по Чапаю;actors_ussr_russia/1625
23692;Никита Тезин;https://www.kinopoisk.ru/name/1746570;Актер;45, 2004 — 2023;Битва за Севастополь,Молодая гвардия,Жизнь и судьба,Инквизитор,Черная метка,Сводные судьбы;actors_ussr_russia/23692
44589;Янис Кирмушка;https://www.kinopoisk.ru/name/1124881;Актер;4, 2005 — 2016;;actors_ussr_russia/44589
16250;Владислав Усов;https://www.kinopoisk.ru/name/3922569;Актер;1, 2016 — 2016;;actors_ussr_russia/16250
0;Владимир Епифанцев;https://www.kinopoisk.ru/name/558099;Актер,Режиссер,Актер дубляжа,Сценарист,Продюсер,Оператор;146, 1999 — 2024;Я остаюсь,Капитан Волконогов бежал,Дом,Джулур: мас-рестлинг,Живой,Жуки,Воскресенский,Два холма,Банды,Тайный знак;actors_ussr_russia/0
14625;Вилли Герк;https://www.kinopoisk.ru/name/777951;Актер;27, 1997 — 2017;;actors_ussr_russia/14625
11375;Константин Бурухин;https://www.kinopoisk.ru/name/3651360;Актер;13, 2004 — 2016;Пятницкий. Глава четвёртая;actors_ussr_russia/11375
28826;Олег Загородний;https://www.kinopoisk.ru/name/3429157;Актер;24, 2010 — 2022;Жар-птица,Демоны,1942,Женский доктор,Как закалялся стайл;actors_ussr_russia/28826
8126;Давид Тухманов;https://www.kinopoisk.ru/name/294581;Композитор,Актер;30, 1973 — 2023;Маленькие комедии большого дома,Куколка,Следствие ведут знатоки: Полуденный вор,Следствие ведут знатоки: Бумеранг,Следствие ведут знатоки: Без ножа и кастета;actors_ussr_russia/8126
4876;Елена Волхонская;https://www.kinopoisk.ru/name/2039695;Актриса;38, 2006 — 2022;Раскол,Ласточкино гнездо,Чужая стая,Банды,Грач;actors_ussr_russia/4876
21126;Рамиз Алиев;https://www.kinopoisk.ru/name/6697127;Актер;9, 2017 — 2022;Струны,Родком,Наш спецназ,Великолепная пятёрка,Художник;actors_ussr_russia/21126
23696;Александр Новин;https://www.kinopoisk.ru/name/965290;Актер,Продюсер;44, 2001 — 2024;Время первых,Пробуждение,Апостол,Охотники за бриллиантами,Однолюбы,Золотое дно;actors_ussr_russia/23696
19501;Сергей Плешаков;https://www.kinopoisk.ru/name/6448060;Актер;4, 2020 — 2021;Хрустальный;actors_ussr_russia/19501
1;Данила Козловский;https://www.kinopoisk.ru/name/1054956;Актер,Продюсер,Режиссер,Актер дубляжа,Сценарист;71, 1999 — 2023;Легенда №17,Одиночка,Экипаж,Молодой человек,Мы из будущего,Мы из будущего,13 клиническая,Всё началось в Харбине,Надвое,Пять невест;actors_ussr_russia/1
3251;Олег Сенцов;https://www.kinopoisk.ru/name/2635660;Режиссер,Сценарист,Продюсер;5, 2008 — 2021;;actors_ussr_russia/3251
28827;Алексей Чистиков;https://www.kinopoisk.ru/name/1815776;Режиссер,Сценарист;6, 2010 — 2019;Дело чести,Семейный бизнес;actors_ussr_russia/28827
6502;Надежда Павлова;https://www.kinopoisk.ru/name/179091;Актриса;4, 1976 — 2023;Сицилианская защита,Синяя птица;actors_ussr_russia/6502
21127;Вероника Мустаева;https://www.kinopoisk.ru/name/6725533;Актриса;2, 2022 — 2023;;actors_ussr_russia/21127
33243;Светлана Дорохина;https://www.kinopoisk.ru/name/1625317;Актриса;26, 2007 — 2022;Поддубный,Казанова,Сваты 4,Деньги,Краткий курс счастливой жизни,Жена олигарха;actors_ussr_russia/33243
23702;Антон Денисенко;https://www.kinopoisk.ru/name/2782698;Актер;51, 2008 — 2024;Сладкая жизнь,Царская прививка,Испытание,Триггер,Ищейка;actors_ussr_russia/23702
28831;Владимир Заец;https://www.kinopoisk.ru/name/2614477;Актер;40, 2008 — 2022;Битва за Севастополь,По праву любви,Тонкая работа,Офицерские жены,Страсти по Чапаю,Женский доктор;actors_ussr_russia/28831
16252;Март Китаев;https://www.kinopoisk.ru/name/4559409;Художник;3, 1981 — 2010;;actors_ussr_russia/16252
3252;Валерия Скороходова;https://www.kinopoisk.ru/name/1601772;Актриса;23, 2003 — 2023;Путейцы;actors_ussr_russia/3252
